file,v9_max,v10_max,v9_tmax_s,v10_tmax_s,v9_ge_099_frames,v10_ge_099_frames
20260410_211602_567860_kuule_kratt_v9_p0.996_c23.wav,0.99609375,0.99609375,3.02,0.56,94,146
20260410_211600_552189_kuule_kratt_v9_p0.988_c22.wav,0.9921875,0.99609375,5.0,2.64,11,48
20260410_211551_866129_kuule_kratt_v9_p0.988_c21.wav,0.99609375,0.99609375,2.8000000000000003,5.2,83,7
20260410_211549_581709_kuule_kratt_v9_p0.992_c20.wav,0.99609375,0.94921875,0.04,4.68,45,0
20260410_211446_824998_kuule_kratt_v9_p0.988_c19.wav,0.99609375,0.3671875,0.7000000000000001,5.17,71,0
20260410_211434_203952_kuule_kratt_v9_p0.996_c18.wav,0.99609375,0.6328125,0.0,5.53,376,0
20260410_211432_192124_kuule_kratt_v9_p0.984_c17.wav,0.99609375,0.69140625,0.0,0.13,295,0
20260410_211430_063421_kuule_kratt_v9_p0.996_c16.wav,0.99609375,0.20703125,0.0,0.03,291,0
20260410_211428_053739_kuule_kratt_v9_p0.984_c15.wav,0.99609375,0.03125,0.0,0.55,110,0
20260410_211420_478191_kuule_kratt_v9_p0.984_c14.wav,0.99609375,0.56640625,0.0,0.6900000000000001,21,0
20260410_211414_809589_kuule_kratt_v9_p0.988_c13.wav,0.9921875,0.08203125,5.0,2.14,7,0
20260410_211317_459721_kuule_kratt_v9_p0.992_c12.wav,0.99609375,0.25390625,4.99,5.84,23,0
20260410_211310_029257_kuule_kratt_v9_p0.996_c11.wav,0.99609375,0.89453125,2.18,0.35000000000000003,70,0
20260410_211307_910070_kuule_kratt_v9_p0.996_c10.wav,0.99609375,0.10546875,1.46,5.65,63,0
20260410_211305_787382_kuule_kratt_v9_p0.992_c9.wav,0.99609375,0.1328125,2.6,0.53,52,0
20260410_211303_627841_kuule_kratt_v9_p0.988_c8.wav,0.99609375,0.00390625,1.97,2.67,74,0
20260410_211301_513262_kuule_kratt_v9_p0.996_c7.wav,0.99609375,0.05078125,2.62,0.63,49,0
20260410_211259_385728_kuule_kratt_v9_p0.988_c6.wav,0.99609375,0.0234375,2.61,3.69,26,0
20260410_211257_220404_kuule_kratt_v9_p0.992_c5.wav,0.99609375,0.0390625,2.86,1.9100000000000001,28,0
20260410_211255_079357_kuule_kratt_v9_p0.992_c4.wav,0.99609375,0.08203125,2.05,2.11,9,0
