candidate_idx,max_prob,t_max_s,mean_prob,p95_prob,frames,bpm,subdivision,pulse_kind,carrier_hz,burst_ms,decay_ms,noise_low_hz,noise_high_hz,rms,frames_ge_0p97,detections_ge_0p97,frames_ge_0p99,detections_ge_0p99,frames_ge_0p995,detections_ge_0p995,frames_ge_0p996,detections_ge_0p996,frames_ge_0p999,detections_ge_0p999
12,0.99609375,3.46,0.19470703601837158,0.91796875,600,90,1,noise,350,6,60,900,5500,0.03,12,2,4,1,2,1,2,1,0,0
16,0.99609375,3.66,0.24626952409744263,0.8359375,600,90,1,noise,350,6,60,1500,5500,0.03,13,1,9,1,8,1,8,1,0,0
32,0.99609375,1.0,0.27953124046325684,0.9453125,600,90,1,noise,350,12,60,1500,5500,0.03,14,1,5,1,2,1,2,1,0,0
49,0.99609375,1.06,0.4201236963272095,0.8828125,600,90,1,noise,700,12,25,900,3500,0.01,11,1,4,1,2,1,2,1,0,0
61,0.99609375,1.73,0.3914388120174408,0.9453125,600,90,1,noise,700,12,60,1500,3500,0.01,11,1,3,1,1,1,1,1,0,0
64,0.99609375,1.67,0.3347525894641876,0.9193359374999988,600,90,1,noise,700,12,60,1500,5500,0.03,13,2,7,1,6,1,6,1,0,0
97,0.99609375,1.05,0.36402344703674316,0.91796875,600,90,1,hybrid,700,6,25,900,3500,0.01,11,1,6,1,4,1,4,1,0,0
113,0.99609375,1.06,0.20617187023162842,0.7734375,600,90,1,hybrid,700,12,25,900,3500,0.01,6,1,3,1,2,1,2,1,0,0
129,0.99609375,0.35000000000000003,0.2622721493244171,0.8828125,600,90,1,tone,350,6,25,900,3500,0.01,10,2,6,1,5,1,5,1,0,0
130,0.99609375,0.19,0.5555598735809326,0.9884765624999998,600,90,1,tone,350,6,25,900,3500,0.03,92,3,30,3,21,3,21,3,0,0
131,0.99609375,0.18,0.29061198234558105,0.91796875,600,90,1,tone,350,6,25,900,5500,0.01,12,3,6,2,3,1,3,1,0,0
132,0.99609375,0.19,0.5555598735809326,0.9884765624999998,600,90,1,tone,350,6,25,900,5500,0.03,92,3,30,3,21,3,21,3,0,0
133,0.99609375,0.18,0.29061198234558105,0.91796875,600,90,1,tone,350,6,25,1500,3500,0.01,12,3,6,2,3,1,3,1,0,0
134,0.99609375,0.19,0.5555598735809326,0.9884765624999998,600,90,1,tone,350,6,25,1500,3500,0.03,92,3,30,3,21,3,21,3,0,0
135,0.99609375,0.18,0.29061198234558105,0.91796875,600,90,1,tone,350,6,25,1500,5500,0.01,12,3,6,2,3,1,3,1,0,0
136,0.99609375,0.19,0.5555598735809326,0.9884765624999998,600,90,1,tone,350,6,25,1500,5500,0.03,92,3,30,3,21,3,21,3,0,0
137,0.99609375,0.18,0.1349804699420929,0.91796875,600,90,1,tone,350,6,60,900,3500,0.01,15,1,8,1,4,1,4,1,0,0
146,0.99609375,0.19,0.49155598878860474,0.98828125,600,90,1,tone,350,12,25,900,3500,0.03,75,3,20,3,9,2,9,2,0,0
