candidate_idx,max_prob,t_max_s,mean_prob,p95_prob,frames,bpm,subdivision,pulse_kind,carrier_hz,burst_ms,decay_ms,noise_low_hz,noise_high_hz,rms,frames_ge_0p97,detections_ge_0p97,frames_ge_0p99,detections_ge_0p99,frames_ge_0p995,detections_ge_0p995,frames_ge_0p996,detections_ge_0p996,frames_ge_0p999,detections_ge_0p999
130,0.99609375,2.15,0.8252539038658142,0.98828125,600,90,1,tone,350,6,25,900,3500,0.03,94,3,25,2,10,2,10,2,0,0
131,0.99609375,0.1,0.3976822793483734,0.96875,600,90,1,tone,350,6,25,900,5500,0.01,29,1,19,1,12,1,12,1,0,0
132,0.99609375,2.15,0.8252539038658142,0.98828125,600,90,1,tone,350,6,25,900,5500,0.03,94,3,25,2,10,2,10,2,0,0
133,0.99609375,0.1,0.3976822793483734,0.96875,600,90,1,tone,350,6,25,1500,3500,0.01,29,1,19,1,12,1,12,1,0,0
134,0.99609375,2.15,0.8252539038658142,0.98828125,600,90,1,tone,350,6,25,1500,3500,0.03,94,3,25,2,10,2,10,2,0,0
135,0.99609375,0.1,0.3976822793483734,0.96875,600,90,1,tone,350,6,25,1500,5500,0.01,29,1,19,1,12,1,12,1,0,0
136,0.99609375,2.15,0.8252539038658142,0.98828125,600,90,1,tone,350,6,25,1500,5500,0.03,94,3,25,2,10,2,10,2,0,0
137,0.99609375,0.1,0.7022265791893005,0.99609375,600,90,1,tone,350,6,60,900,3500,0.01,164,3,91,3,48,3,48,3,0,0
138,0.99609375,0.27,0.9472981691360474,0.99609375,600,90,1,tone,350,6,60,900,3500,0.03,309,3,190,3,143,3,143,3,0,0
139,0.99609375,0.25,0.7035611867904663,0.99609375,600,90,1,tone,350,6,60,900,5500,0.01,111,3,76,3,49,3,49,3,0,0
140,0.99609375,0.27,0.9472981691360474,0.99609375,600,90,1,tone,350,6,60,900,5500,0.03,309,3,190,3,143,3,143,3,0,0
141,0.99609375,0.25,0.7035611867904663,0.99609375,600,90,1,tone,350,6,60,1500,3500,0.01,111,3,76,3,49,3,49,3,0,0
142,0.99609375,0.27,0.9472981691360474,0.99609375,600,90,1,tone,350,6,60,1500,3500,0.03,309,3,190,3,143,3,143,3,0,0
143,0.99609375,0.25,0.7035611867904663,0.99609375,600,90,1,tone,350,6,60,1500,5500,0.01,111,3,76,3,49,3,49,3,0,0
144,0.99609375,0.27,0.9472981691360474,0.99609375,600,90,1,tone,350,6,60,1500,5500,0.03,309,3,190,3,143,3,143,3,0,0
145,0.99609375,0.29,0.43818360567092896,0.9140625,600,90,1,tone,350,12,25,900,3500,0.01,10,1,8,1,3,1,3,1,0,0
146,0.99609375,0.92,0.8003385663032532,0.984375,600,90,1,tone,350,12,25,900,3500,0.03,70,3,12,3,3,1,3,1,0,0
148,0.99609375,0.92,0.8003385663032532,0.984375,600,90,1,tone,350,12,25,900,5500,0.03,70,3,12,3,3,1,3,1,0,0
150,0.99609375,0.92,0.8003385663032532,0.984375,600,90,1,tone,350,12,25,1500,3500,0.03,70,3,12,3,3,1,3,1,0,0
152,0.99609375,0.92,0.8003385663032532,0.984375,600,90,1,tone,350,12,25,1500,5500,0.03,70,3,12,3,3,1,3,1,0,0
153,0.99609375,0.27,0.7395572662353516,0.9921875,600,90,1,tone,350,12,60,900,3500,0.01,94,3,53,3,15,3,15,3,0,0
154,0.99609375,0.27,0.85428386926651,0.99609375,600,90,1,tone,350,12,60,900,3500,0.03,168,3,126,3,109,3,109,3,0,0
155,0.99609375,0.26,0.7214127779006958,0.9921875,600,90,1,tone,350,12,60,900,5500,0.01,108,3,61,3,24,3,24,3,0,0
156,0.99609375,0.27,0.85428386926651,0.99609375,600,90,1,tone,350,12,60,900,5500,0.03,168,3,126,3,109,3,109,3,0,0
157,0.99609375,0.26,0.7214127779006958,0.9921875,600,90,1,tone,350,12,60,1500,3500,0.01,108,3,61,3,24,3,24,3,0,0
158,0.99609375,0.27,0.85428386926651,0.99609375,600,90,1,tone,350,12,60,1500,3500,0.03,168,3,126,3,109,3,109,3,0,0
159,0.99609375,0.26,0.7214127779006958,0.9921875,600,90,1,tone,350,12,60,1500,5500,0.01,108,3,61,3,24,3,24,3,0,0
160,0.99609375,0.27,0.85428386926651,0.99609375,600,90,1,tone,350,12,60,1500,5500,0.03,168,3,126,3,109,3,109,3,0,0
161,0.99609375,0.28,0.6029557585716248,0.9765625,600,90,1,tone,700,6,25,900,3500,0.01,31,1,13,1,6,1,6,1,0,0
195,0.99609375,0.88,0.8531445264816284,0.9921875,600,90,2,noise,350,6,25,900,5500,0.01,142,3,56,2,26,1,26,1,0,0
196,0.99609375,0.13,0.36575520038604736,0.96875,600,90,2,noise,350,6,25,900,5500,0.03,29,1,23,1,12,1,12,1,0,0
199,0.99609375,1.43,0.91824871301651,0.99609375,600,90,2,noise,350,6,25,1500,5500,0.01,466,3,389,3,276,3,276,3,0,0
200,0.99609375,0.0,0.5949804782867432,0.98828125,600,90,2,noise,350,6,25,1500,5500,0.03,49,3,28,1,24,1,24,1,0,0
207,0.99609375,1.27,0.7750065326690674,0.98828125,600,90,2,noise,350,6,60,1500,5500,0.01,95,2,22,2,4,1,4,1,0,0
211,0.99609375,0.99,0.83077472448349,0.99609375,600,90,2,noise,350,12,25,900,5500,0.01,283,3,152,3,62,1,62,1,0,0
