model,test_set,threshold,metric,value,mean_score,median_score,std_score,p5,p95,n_clips
v6,pos_mic1,0.5,recall,1.0000,0.9992,1.0000,0.0127,1.0000,1.0000,250
v6,pos_mic2,0.5,recall,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,250
v6,neg_cv,0.5,fpr,0.1400,0.1920,0.0667,0.2487,0.0024,0.7888,250
v6,neg_korvo2,0.5,fpr,0.0367,0.0322,0.0000,0.1531,0.0000,0.0510,109
v7,pos_mic1,0.5,recall,1.0000,0.9877,1.0000,0.0487,0.9392,1.0000,250
v7,pos_mic2,0.5,recall,0.9960,0.9952,1.0000,0.0359,0.9893,1.0000,250
v7,neg_cv,0.5,fpr,0.1320,0.2010,0.1016,0.2380,0.0039,0.7441,250
v7,neg_korvo2,0.5,fpr,0.1560,0.1796,0.0173,0.2994,0.0000,0.8882,109
v6,pos_mic1,0.7,recall,1.0000,0.9992,1.0000,0.0127,1.0000,1.0000,250
v6,pos_mic2,0.7,recall,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,250
v6,neg_cv,0.7,fpr,0.0840,0.1920,0.0667,0.2487,0.0024,0.7888,250
v6,neg_korvo2,0.7,fpr,0.0183,0.0322,0.0000,0.1531,0.0000,0.0510,109
v7,pos_mic1,0.7,recall,0.9880,0.9877,1.0000,0.0487,0.9392,1.0000,250
v7,pos_mic2,0.7,recall,0.9960,0.9952,1.0000,0.0359,0.9893,1.0000,250
v7,neg_cv,0.7,fpr,0.0680,0.2010,0.1016,0.2380,0.0039,0.7441,250
v7,neg_korvo2,0.7,fpr,0.1284,0.1796,0.0173,0.2994,0.0000,0.8882,109
v6,pos_mic1,0.9,recall,0.9960,0.9992,1.0000,0.0127,1.0000,1.0000,250
v6,pos_mic2,0.9,recall,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,250
v6,neg_cv,0.9,fpr,0.0160,0.1920,0.0667,0.2487,0.0024,0.7888,250
v6,neg_korvo2,0.9,fpr,0.0183,0.0322,0.0000,0.1531,0.0000,0.0510,109
v7,pos_mic1,0.9,recall,0.9720,0.9877,1.0000,0.0487,0.9392,1.0000,250
v7,pos_mic2,0.9,recall,0.9880,0.9952,1.0000,0.0359,0.9893,1.0000,250
v7,neg_cv,0.9,fpr,0.0160,0.2010,0.1016,0.2380,0.0039,0.7441,250
v7,neg_korvo2,0.9,fpr,0.0459,0.1796,0.0173,0.2994,0.0000,0.8882,109
v6,pos_mic1,0.95,recall,0.9960,0.9992,1.0000,0.0127,1.0000,1.0000,250
v6,pos_mic2,0.95,recall,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,250
v6,neg_cv,0.95,fpr,0.0120,0.1920,0.0667,0.2487,0.0024,0.7888,250
v6,neg_korvo2,0.95,fpr,0.0092,0.0322,0.0000,0.1531,0.0000,0.0510,109
v7,pos_mic1,0.95,recall,0.9400,0.9877,1.0000,0.0487,0.9392,1.0000,250
v7,pos_mic2,0.95,recall,0.9800,0.9952,1.0000,0.0359,0.9893,1.0000,250
v7,neg_cv,0.95,fpr,0.0080,0.2010,0.1016,0.2380,0.0039,0.7441,250
v7,neg_korvo2,0.95,fpr,0.0275,0.1796,0.0173,0.2994,0.0000,0.8882,109
v6,pos_mic1,0.99,recall,0.9960,0.9992,1.0000,0.0127,1.0000,1.0000,250
v6,pos_mic2,0.99,recall,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,250
v6,neg_cv,0.99,fpr,0.0040,0.1920,0.0667,0.2487,0.0024,0.7888,250
v6,neg_korvo2,0.99,fpr,0.0092,0.0322,0.0000,0.1531,0.0000,0.0510,109
v7,pos_mic1,0.99,recall,0.8600,0.9877,1.0000,0.0487,0.9392,1.0000,250
v7,pos_mic2,0.99,recall,0.9480,0.9952,1.0000,0.0359,0.9893,1.0000,250
v7,neg_cv,0.99,fpr,0.0040,0.2010,0.1016,0.2380,0.0039,0.7441,250
v7,neg_korvo2,0.99,fpr,0.0183,0.1796,0.0173,0.2994,0.0000,0.8882,109
