model,test_set,kind,threshold,metric,value,n,duration_s,mean,p5,p95
v10,pos_isa_xtts,positive,0.97,recall,0.8750,48,,0.9690,0.8045,1.0000
v10,hard_neg_mac_holdout,hard_negative,0.97,fpr,0.6667,15,,0.8224,0.2727,1.0000
v10,hard_neg_isa_xtts,hard_negative,0.97,fpr,0.3000,60,,0.6577,0.0307,1.0000
v10,hard_neg_v10_false_accept_canary,hard_negative,0.97,fpr,0.8000,5,,0.9798,0.9669,0.9936
v10,faph_cv_et,ambient,0.97,faph,54.4406,2000,13754.5,,,
v10,faph_librispeech,ambient,0.97,faph,54.0762,2620,20238.2,,,
v11,pos_isa_xtts,positive,0.97,recall,1.0000,48,,1.0000,1.0000,1.0000
v11,hard_neg_mac_holdout,hard_negative,0.97,fpr,0.8667,15,,0.9382,0.6503,1.0000
v11,hard_neg_isa_xtts,hard_negative,0.97,fpr,0.9833,60,,0.9994,1.0000,1.0000
v11,hard_neg_v10_false_accept_canary,hard_negative,0.97,fpr,0.4000,5,,0.3976,0.0009,0.9911
v11,faph_cv_et,ambient,0.97,faph,147.6177,2000,13754.5,,,
v11,faph_librispeech,ambient,0.97,faph,186.5984,2620,20238.2,,,
