model_a,model_b,pearson_score,spearman_score,overlap_ge_0.97,jaccard_ge_0.97,phi_ge_0.97
v16c,expert-a,0.4846,0.5498,263,0.3442,0.3522
v16c,expert-b2,0.1922,0.2047,167,0.1922,0.0909
v16c,ex3a,0.4702,0.5176,325,0.4088,0.4178
v16c,v10,0.3010,0.3492,99,0.1500,0.1795
v16c,v15,0.4933,0.5718,493,0.4462,0.4374
v16c,v6-residual,0.5422,0.6283,263,0.3828,0.4408
v16c,v6,0.5728,0.6402,247,0.3648,0.4287
expert-a,expert-b2,0.1160,0.1368,121,0.1539,0.0518
expert-a,ex3a,0.4237,0.4996,234,0.3091,0.3028
expert-a,v10,0.2561,0.2889,73,0.1311,0.1352
expert-a,v15,0.4029,0.4913,351,0.3140,0.2925
expert-a,v6-residual,0.4865,0.5535,191,0.3032,0.3310
expert-a,v6,0.4419,0.5383,163,0.2579,0.2703
expert-b2,ex3a,0.1734,0.1824,152,0.1792,0.0746
expert-b2,v10,0.2945,0.3223,70,0.1230,0.1184
expert-b2,v15,0.1819,0.1793,248,0.2016,0.0343
expert-b2,v6-residual,0.1627,0.1629,107,0.1480,0.0667
expert-b2,v6,0.1936,0.1964,104,0.1486,0.0779
ex3a,v10,0.2918,0.3156,88,0.1386,0.1527
ex3a,v15,0.4018,0.4517,419,0.3666,0.3208
ex3a,v6-residual,0.4523,0.5003,231,0.3382,0.3764
ex3a,v6,0.4620,0.5308,213,0.3156,0.3546
v10,v15,0.2587,0.3068,130,0.1214,0.1314
v10,v6-residual,0.3187,0.3520,70,0.1449,0.1627
v10,v6,0.3142,0.3530,66,0.1432,0.1598
v15,v6-residual,0.4335,0.5449,327,0.3070,0.3529
v15,v6,0.4239,0.5442,293,0.2731,0.3082
v6-residual,v6,0.5699,0.6226,196,0.3755,0.4472
