model,Isa(48),Mat(135),Ode(11),Friend1(145),HN-Mac(15),HN-Isa(60),HN-Can(5),CV-ET 3.82h track,LibSp 5.62h,DiPCo 3.32h,MacBG 1.17h
v1,0.7708,0.8074,0.6364,0.6552,0.3333,0.8000,1.0000,423.7465,160.6276,707.6370,2999.8359
v2,1.0000,0.9481,1.0000,0.9241,0.9333,1.0000,1.0000,436.8332,194.7809,1307.8191,2791.7399
v3,0.9792,0.9778,0.8182,0.8276,0.8000,1.0000,1.0000,985.6883,620.0971,638.7093,1881.4272
v4,0.7500,0.7926,0.2727,0.4483,0.7333,0.7167,0.4000,343.9178,156.7142,49.6640,108.7580
v5,1.0000,0.7630,0.9091,0.8621,1.0000,0.8667,0.0000,42.1391,9.4278,27.9924,26.5472
v6,1.0000,0.8519,0.8182,0.9310,1.0000,0.6333,0.0000,44.4947,8.7162,4.2139,15.4145
v6-specaug,0.9167,1.0000,0.6364,0.6483,0.9333,0.7333,0.4000,246.8147,500.3824,26.4875,94.1998
v6-residual,1.0000,0.7630,0.9091,0.9724,1.0000,0.7500,0.0000,23.5560,7.8268,1.2040,5.1382
v7,0.4375,0.8741,0.4545,0.4414,0.8000,0.2500,0.0000,78.7818,137.3250,9.3308,36.8236
v8,0.6875,0.8148,0.1818,0.2483,0.3333,0.2167,0.0000,55.7492,75.4220,7.5249,9.4200
v9,0.8333,0.9407,0.7273,0.8345,0.8000,0.6167,0.4000,187.4012,290.3036,40.3332,53.9508
v10,0.8750,0.9630,0.7273,0.6138,0.6000,0.3000,0.8000,54.4406,54.0762,11.7388,11.1327
v11,1.0000,0.8815,0.7273,0.7586,0.8667,0.9833,0.4000,147.6177,186.5984,44.2461,38.5363
v12,0.9583,0.9481,0.8182,0.9655,0.8000,0.7667,0.4000,92.6537,123.4502,45.4501,46.2435
v13a,0.9167,0.9185,0.4545,0.4000,0.8667,0.8833,0.2000,214.3597,288.3469,24.3805,52.2381
